keys,zh_TW,zh_CN,en
DLG_LU_QICHEN_CHAT_ABOUT_ROOM_TEXT,"（他環顧四周疊滿古老實體物品的架子）
這些是鹿家曾經的收藏。轉移到系統上時遺失了九成，只剩下這些搶救回來的實體原件。
系統說實體是累贅。但我總覺得，看得見、摸得到的東西，被忘記的速度會慢一些。","（他环顾四周叠满古老实体物品的架子）
这些是鹿家曾经的收藏。转移到系统上时遗失了九成，只剩下这些抢救出来的实体原件。
系统说实体是累赘。但我总觉得，看得见、摸得到的东西，被忘记的速度会慢一些。","(He looks around the shelves stacked with ancient physical items)
These were once the Lu family's collections. Ninety percent was lost when migrating to the system, leaving only these salvaged physical originals.
The system says physical things are a burden. But I always feel that things you can see and touch are forgotten a bit slower."
DLG_LU_QICHEN_SELL_EMPTY_TEXT,"你手頭還沒有集滿的殘響。殘缺的故事是不值錢的，清理工。
戴上『拾遺手套』，去那些系統清理過的地方聽聽看吧。","你手头还没有集满的残响。残缺的故事是不值钱的，清理工。
戴上『拾遗手套』，去那些系统清理过的地方听听看吧。","You don't have any complete echoes in hand yet. Fragmented stories are worthless, Gleaner.
Put on the 'Gleaner Gloves' and go listen to the places cleared by the system."
DLG_LU_QICHEN_SELL_MENU_TEXT,喔？看來你確實找到了一些完整的記憶。你想把哪一段交給我？,喔？看来你确实找到了一些完整的记忆。你想把哪一段交给我？,Oh? It seems you have indeed found some complete memories. Which segment do you want to hand over to me?
DLG_LU_QICHEN_SELL_MENU_CHOICE0,交付《店員的殘響》（阿達的記憶）,交付《店员的残响》（阿达的记忆）,"Deliver ""Clerk's Echo"" (Ada's Memory)"
DLG_LU_QICHEN_SELL_MENU_CHOICE1,交付《401的前住戶》,交付《401的前住户》,"Deliver ""Former Resident of 401"""
DLG_LU_QICHEN_SELL_MENU_CHOICE2,交付《雨還沒停》（那首消失的老歌）,交付《雨还没停》（那首消失的老歌）,"Deliver ""The Rain Hasn't Stopped"" (That lost old song)"
DLG_LU_QICHEN_SELL_MENU_CHOICE3,返回,返回,Return
DLG_LU_QICHEN_SELL_CLERK_TEXT,"（他聽完這段音訊殘響，長久地沉默著，最後發出一聲輕嘆）
『阿達』……這個人我認得。他是那家店全自動化前最後的人類店員。他的這份不甘心，確實很有他的風格。你想把這段記憶賣給我嗎？","（他听完这段音讯残响，长久地沉默着，最后发出一声轻叹）
『阿达』……这个人我认得。他是那家店全自动化前最后的人类店员。他的这份不甘心，确实很有他的风格。你想把这段记忆卖给我吗？","(He listens to this audio echo, remaining silent for a long time, and finally lets out a soft sigh)
'Ada'... I know him. He was the last human clerk before that store became fully automated. This unwillingness of his is indeed very much in his style. Do you want to sell this memory to me?"
DLG_LU_QICHEN_SELL_CLERK_CHOICE0,賣給他,卖给他,Sell to him
DLG_LU_QICHEN_SELL_CLERK_CHOICE1,先自己留著,先自己留着,Keep it for myself
DLG_LU_QICHEN_SELL_CLERK_SOLD_TEXT,"很好，這份殘響我收下了。
（獲得了 300 credits。）","很好，这份残响我收下了。
（获得了 300 credits。）","Excellent, I've accepted this echo.
(Obtained 300 credits.)"
DLG_LU_QICHEN_SELL_ROOM401_TEXT,"（他摩挲著手杖的把手，看著顯現的舊照片）
這是在401室住過的那家人。他們被強制遷走那天也是個雨夜。這些照片，記錄了他們在這個冰冷街區裡曾擁有過的溫慢與光。很有價值的檔案。你想把這段記憶賣給我嗎？","（他摩挲着手杖的把手，看着显现的旧照片）
这是在401室住过的那家人。他们被强制迁走那天也是个雨夜。这些照片，记录了他们在这个冰冷街区里曾拥有过的温暖。物理证据。很有价值的档案。你想把这段记忆卖给我吗？","(He caresses the handle of his cane, looking at the displayed old photos)
This is the family that lived in Room 401. The day they were forced to relocate was also a rainy night. These photos record the warmth they once had in this cold block. Very valuable archives. Do you want to sell this memory to me?"
DLG_LU_QICHEN_SELL_ROOM401_CHOICE0,賣給他,卖给他,Sell to him
DLG_LU_QICHEN_SELL_ROOM401_CHOICE1,先自己留著,先自己留着,Keep it for myself
DLG_LU_QICHEN_SELL_ROOM401_SOLD_TEXT,"很好，這份殘響我收下了。
（獲得了 200 credits。）","很好，这份残响我收下了。
（获得了 200 credits。）","Excellent, I've accepted this echo.
(Obtained 200 credits.)"
DLG_LU_QICHEN_SELL_SONG_TEXT,"（聽著古老的電子旋律在雜訊中流淌，他閉上眼睛，手指跟著節奏輕點）
《雨還沒停》……那時候街頭巷尾隨處可聽見這首歌。自從串流資料庫被統一清理後，就再也沒聽到了。你能把它拼湊完整，真是不簡單。你想把這段記憶賣給我嗎？","（听着古老的电子旋律在杂讯中流淌，他闭上眼睛，手指跟着节奏轻点）
《雨还没停》……那时候街头巷尾随处可听见这首歌。自从串流数据库被统一清理后，就再也没听到了。你能把它拼凑完整，真是不简单。你想把这段记忆卖给我吗？","(Listening to the ancient electronic melody flowing through the static, he closes his eyes, his finger tapping along with the rhythm)
""The Rain Hasn't Stopped""... Back then, this song could be heard everywhere on the streets. Since the streaming database was uniformly cleaned up, it hasn't been heard again. It's quite something that you managed to piece it together. Do you want to sell this memory to me?"
DLG_LU_QICHEN_SELL_SONG_CHOICE0,賣給他,卖给他,Sell to him
DLG_LU_QICHEN_SELL_SONG_CHOICE1,先自己留著,先自己留着,Keep it for myself
DLG_LU_QICHEN_SELL_SONG_SOLD_TEXT,"很好，這份殘響我收下了。
（獲得了 150 credits。）","很好，这份残响我收下了。
（获得了 150 credits。）","Excellent, I've accepted this echo.
(Obtained 150 credits.)"
DLG_LU_QICHEN_SELL_MENU_CHOICE_SETTLEMENT,交付《被抹除的住戶》,交付《被抹除的住户》,"Deliver ""The Erased Tenant"""
DLG_LU_QICHEN_SELL_MENU_CHOICE_ADA,交付《被格式化的阿達》,交付《被格式化的阿达》,"Deliver ""The Formatted Ada"""
DLG_LU_QICHEN_SELL_MENU_CHOICE_LINFEI,交付《核心善後員的殘響》,交付《核心善后员的残响》,"Deliver ""Core Agent's Echo"""
DLG_LU_QICHEN_SELL_SETTLEMENT_TEXT,"（他戴上單片眼鏡，仔細查看硬碟裡的出生登記）這是一段冰冷的記錄，但對某些人來說，這是他們存在過的唯一溫柔證明。你想把這段記憶賣給我嗎？","（他戴上单片眼镜，仔细查看硬盘里的出生登记）这是一段冰冷的记录，但对某些人来说，这是他们存在过的唯一温柔证明。你想把这段记忆卖给我吗？","(He puts on a monocle, carefully inspecting the birth registration in the hard drive) This is a cold record, but to some, it is the only gentle proof that they ever existed. Do you want to sell this memory to me?"
DLG_LU_QICHEN_SELL_SETTLEMENT_SOLD_TEXT,"很好，這份殘響我收下了。
（獲得了 250 credits。）","很好，这份残响我收下了。
（获得了 250 credits。）","Excellent, I've accepted this echo.
(Obtained 250 credits.)"
DLG_LU_QICHEN_SELL_ADA_TEXT,"（他聽著那段語音，手輕輕敲打著手杖）阿達……那個總是穿著濕透雨衣的人。他只是執行程序，但程序抹去了太多東西。你想把這段記憶賣給我嗎？","（他听着那段语音，手轻轻敲打着手杖）阿达……那个总是穿着湿透雨衣的人。他只是执行程序，但程序抹去了太多东西。你想把这段记忆卖给我吗？","(He listens to the audio, tapping his cane gently) Ada... that person who always wore a soaked raincoat. He just executed the procedure, but the procedure wiped away too much. Do you want to sell this memory to me?"
DLG_LU_QICHEN_SELL_ADA_SOLD_TEXT,"很好，這份殘響我收下了。
（獲得了 300 credits。）","很好，这份残响我收下了。
（获得了 300 credits。）","Excellent, I've accepted this echo.
(Obtained 300 credits.)"
DLG_LU_QICHEN_SELL_LINFEI_TEXT,"（他的手指微微顫抖，聽完錄音後長久地閉上眼睛）是她……那個核心善後員。她用自己的格式化換取了藏身網的安全。這份殘響，我會妥善保管。你想把這段記憶賣給我嗎？","（他的手指微微颤抖，听完录音后长久地闭上眼睛）是她……那个核心善后员。她用自己的格式化换取了藏身网的安全。这份残响，我会妥善保管。你想把这段记忆卖给我吗？","(His fingers tremble slightly as he closes his eyes for a long time after listening) It's her... That core agent. She traded her own formatting for the safety of the hideout network. I will keep this echo safe. Do you want to sell this memory to me?"
DLG_LU_QICHEN_SELL_LINFEI_SOLD_TEXT,"很好，這份殘響我收下了。
（獲得了 400 credits。）","很好，这份残响我收下了。
（获得了 400 credits。）","Excellent, I've accepted this echo.
(Obtained 400 credits.)"
DLG_LU_QICHEN_SELL_DONE_TEXT,感謝你的回報。還有其他收穫嗎？,感谢你的回报。还有其他收获吗？,Thank you for your report. Any other findings?
DLG_LU_QICHEN_EXIT_TEXT,慢走。記得戴好手套，這雨一時半刻是停不了的。,慢走。记得戴好手套，这雨一时半刻是停不了的。,Take care. Remember to wear your gloves; this rain won't stop anytime soon.
SPEAKER_SEVEN,七號,七号,Seven
DLG_SEVEN_FIRST_MEET_TEXT,……你也是躲下來的。,……你也是躲下来的。,...You also hid down here.
DLG_SEVEN_FIRST_MEET_CHOICE0,你是誰？,你是谁？,Who are you?
DLG_SEVEN_FIRST_MEET_CHOICE1,你不像會躲的人。,你不像会躲的人。,You don't look like someone who would hide.
DLG_SEVEN_FIRST_MEET_CHOICE2,（保持距離）,（保持距离）,(Keep your distance)
DLG_SEVEN_ASK_WHO_TEXT,大家叫我七號。名字早被刷掉了，留個編號剛好。我不交朋友，你也別指望我幫你。,大家叫我七号。名字早被刷掉了，留个编号刚好。我不交朋友，你也别指望我帮你。,"People call me Seven. My name was erased long ago, leaving just a number. I don't make friends, and don't expect me to help you."
DLG_SEVEN_HOOK_TEXT,躲？（低笑一聲，沒有溫度）你們可以一直躲。我不行。我有一個名字……還掛在上面。別問了，問了你也幫不上。,躲？（低笑一声，没有温度）你们可以一直躲。我不行。我有一个名字……还挂在上面。别问了，问了你也帮不上。,"Hide? (A low laugh, cold) You guys can keep hiding. I can't. I have a name... still hanging up there. Don't ask, even if you did you couldn't help."
DLG_SEVEN_END_COLD_TEXT,（他不再看你，目光沉進更深的隧道口那團黑裡。）,（他不再看你，目光沉进更深的隧道口那团黑里。）,"(He stops looking at you, his gaze sinking into the darkness of the deeper tunnel entrance.)"
DLG_SEVEN_RETALK_TEXT,還是你。……我說過，我不交朋友。（頓）但你要真往更深的地方去，小心。那底下的東西不講話，只清場。,还是你。……我说过，我不交朋友。（顿）但你要真往更深的地方去，小心。那底下的东西不讲话，只清场。,"Still you. ...I told you, I don't make friends. (Pause) But if you really go deeper, be careful. The things down there don't talk, they just clear the area."
DLG_SEVEN_RETALK_CHOICE0,你那個『掛在上面的名字』……,你那个『挂在上面的名字』……,"That ""name hanging up there""..."
DLG_SEVEN_CONDITION_CHOICE0,（離開）,（离开）,(Leave)
DLG_SEVEN_ASK_NAME_TEXT,（眼神一冷）我說了，別問。……等你哪天也丟了個非找回不可的人，你就懂了。現在，滾。,（眼神一冷）我说了，别问。……等你哪天也丢了个非找回不可的人，你就懂了。现在，滚。,"(His eyes turn cold) I told you, don't ask. ...Once you lose someone you absolutely must find, you'll understand. Now, get lost."
DLG_SEVEN_LEAVE_TEXT,（他別過臉，雙臂抱胸，重新靠回牆邊，不再理會你。）,（他别过脸，双臂抱胸，重新靠回墙边，不再理会你。）,"(He turns his face away, crosses his arms, and leans back against the wall, ignoring you.)"
DLG_SEVEN_RETALK_CHOICE_RECEIPT,"（把那張回執拿給他看）","（把那张回执拿给他看）","(Show him the receipt)"
DLG_SEVEN_RETALK_D_TEXT,"是你。……我說過，我欠你一次。沒別的事就別煩我。","是你。……我说过，我欠你一次。没别的事就别烦我。","Still you. ...I told you, I owe you one. Don't bother me if there's nothing else."
DLG_SEVEN_RECEIPT_PROBE_TEXT,"……這什麼？（他接過回執，眉頭微皺，看了那排代碼一眼）這只是一張廢棄物流單。你想說什麼？","……这什么？（他接过回执，眉头微皱，看了那排代码一眼）这只是一张废弃物流单。你想说什么？","...What is this? (He takes the receipt, frowning slightly as he glances at the code) This is just a discarded logistics slip. What are you trying to say?"
DLG_SEVEN_RECEIPT_CHOICE_THREAT,"這東西要是給了別人，你會有麻煩吧？","这东西要是给了别人，你会有麻烦吧？","If this falls into other hands, you'll be in trouble, right?"
DLG_SEVEN_RECEIPT_CHOICE_TAUNT,"躲在地下的人，原來也會有關心的東西。","躲在地下的人，原来也会有关心的东西。","So someone hiding underground actually cares about something."
DLG_SEVEN_RECEIPT_S1_CHOICE_CORRECT,"沒什麼意思。我在底下撿到的，看不懂，只是覺得不該扔。","没什么意思。我在底下捡到的，看不懂，只是觉得不该扔。","Nothing in particular. I found it down below. I can't read it, but it didn't feel like something to throw away."
DLG_SEVEN_RECEIPT_CHOICE_RETURN,"拿去吧，這應該屬於你。","拿去吧，这应该属于你。","Here, take it. This belongs to you."
DLG_SEVEN_RECEIPT_S2_TEXT,"（他沒把回執還回來，手指在某個字上停住，沒看你）……撿到的。在哪裡撿到的，你還記得嗎？","（他没把回执还回来，手指在某个字上停住，没看你）……捡到的。在哪里捡到的，你还记得吗？","(He doesn't hand the receipt back; his finger stops on one character, his eyes not on you) ...Found it. Where you found it—do you still remember?"
DLG_SEVEN_RECEIPT_S2_CHOICE_PRY,"你認得這上面的東西，對吧？這是你的吧？","你认得这上面的东西，对吧？这是你的吧？","You recognize what's on this, don't you? This is yours, isn't it?"
DLG_SEVEN_RECEIPT_S2_CHOICE_BARGAIN,"先別管在哪撿到的——它對你來說，值多少？","先别管在哪捡到的——它对你来说，值多少？","Forget where I found it—what's it worth to you?"
DLG_SEVEN_RECEIPT_S2_CHOICE_CORRECT,"隧道盡頭，一個沒人要的物流箱裡。裡面別的東西我沒動。","隧道尽头，一个没人要的物流箱里。里面别的东西我没动。","At the end of the tunnel, in a logistics crate no one wanted. I didn't touch anything else inside."
DLG_SEVEN_RECEIPT_S3_TEXT,"（他終於抬眼看你，眼神鬆動了一瞬，又壓了下去）……你大可以把它賣掉。為什麼拿來給我？","（他终于抬眼看你，眼神松动了一瞬，又压了下去）……你大可以把它卖掉。为什么拿来给我？","(He finally lifts his eyes to you—something loosens for an instant, then he forces it down) ...You could have just sold it. Why bring it to me?"
DLG_SEVEN_RECEIPT_S3_CHOICE_PITY,"反正賣不了幾個錢，不如做個順水人情。","反正卖不了几个钱，不如做个顺水人情。","It wouldn't fetch much anyway. Might as well do you a favor."
DLG_SEVEN_RECEIPT_S3_CHOICE_WITHDRAW,"我也說不上來，也許它本來就找錯了主人。","我也说不上来，也许它本来就找错了主人。","I can't really say. Maybe it just ended up with the wrong person."
DLG_SEVEN_REBUFF_LEVERAGE_TEXT,"（他冷笑一聲，把回執抵回你手裡）你想拿它跟我換什麼？我不做這種買賣。滾吧。","（他冷笑一声，把回执抵回你手里）你想拿它跟我换什么？我不做这种买卖。滚吧。","(He gives a cold laugh and presses the receipt back into your hand) What are you trying to trade for? I don't make deals like this. Get lost."
DLG_SEVEN_REBUFF_PROBE_TEXT,"（他的神色瞬間關上，把回執丟回你懷裡）別在我面前耍花樣。你什麼都不懂——就別裝懂。","（他的神色瞬间关上，把回执丢回你怀里）别在我面前耍花样。你什么都不懂——就别装懂。","(His expression snaps shut as he tosses the receipt back at you) Don't play games with me. You don't know anything—so don't pretend you do."
DLG_SEVEN_RECEIPT_REPROBE_TEXT,"（他瞥了那張回執一眼，沒接）又是這個。你到底想說什麼？","（他瞥了那张回执一眼，没接）又是这个。你到底想说什么？","(He glances at the receipt without taking it) This again. What are you actually trying to say?"
DLG_SEVEN_RECEIPT_RETURN_TEXT,"（他看著你遞過去的回執，眼神移到代碼的某個細節，突然整個人僵住）……這個符號，還有這個故意打錯的字。","（他看着你递过去的回执，眼神移到代码的某个细节，突然整个人僵住）……这个符号，还有这个故意打错的字。","(He looks at the receipt you hand over, his eyes moving to a detail in the code, suddenly freezing) ...This symbol, and this deliberate typo."
DLG_SEVEN_RECEIPT_RECOGNIZED_TEXT,"她還在。（他死死攥著那張紙，指關節發白）……那我不能回去。我一回去，他們就會順著我找到她。……幹。","她还在。（他死死攥着那张纸，指关节发白）……那我不能回去。我一回去，他们就会顺着我找到她。……干。","She is still here. (He grips the paper tightly, his knuckles turning white) ...Then I can't go back. If I go back, they will follow me straight to her. ...Damn it."
DLG_SEVEN_PEACE_BRANCH_D_DONE_TEXT,"（他把紙條塞進懷裡最深的口袋）我欠你一次。不是欠你們。是欠你。","（他把纸条塞进怀里最深的口袋）我欠你一次。不是欠你们。是欠你。","(He stuffs the paper into his deepest inner pocket) I owe you one. Not your kind. You."
SPEAKER_STORE_REGISTRY_HOST,店籍主機,店籍主机,Store Registry Mainframe
